source_index,source_video_id,source_title,result_count,error
1,e8sVwmCSBVU,破産寸前で形見のボロ車を売る老婆。嘲笑した店員がもう一度車を見た直後...,0,
2,Ti7DNnUaj1I,「絶対に忘れるな」認知症の父が娘を忘れた日→それでも毎朝絵を貼り続けた13歳→ある日冷蔵庫の前で涙の再会【感動する話】,0,
3,zosNE2MZIeE,片目の14歳少年、廃業寸前の豆腐屋に「時給100円で配達させてください」→両目を閉じて作った豆腐に68歳店主が涙した理由…【感動する話】,0,
4,dqOXW_pxlDE,「寿司を握りたい」と言った外国人を、72歳の頑固な職人は「出ていけ」と怒鳴った。だがあの前掛けを、捨てられなかった…【感動する話】,0,
5,pKxAd3_Slio,ボロボロの靴で走り続けた少年に、名前のない贈り物が届いた【感動する話】,18,
6,yydx9EDsVrQ,「風は何色？」目の見えない7歳の少女の問いに、67歳の男は言葉を失った──23年間の秘密【感動する話】,0,
7,Xkvp1ExXnfQ,「おじちゃんのお蕎麦、もう食べたくない」少女が泣きながら言った本当の理由に、72歳の蕎麦職人は涙が止まらなかった【感動する話】,4,
8,2duSTtKAJa8,正直に生きて全てを失った27歳の女性→閉店30日前の蕎麦屋で出会った63歳職人が最後に教えてくれた人生の真実とは…【感動する話】,0,
9,WBlNorxHNgM,「見た目だけで犯人扱いされた」元ヤクザが55年待ち続けた奇跡の一言…誰も知らなかった真実【感動する話】,0,
10,MZME5oRSXtQ,夫と不倫女に追い出された嫁、8年後に彼女たちが再会した時...【感動する話】,20,
11,Aelt8LWDxKI,ボロボロの老人を助けた銀行員。翌週クビを宣告された——しかし一週間後、黒塗りの高級車が…【感動する話】,2,
12,wekoyJQDHBI,60年ぶりの約束── あのラーメンの味が、父の記憶を連れてきた【感動する話】,0,
13,6Ah1gK4_Lxc,「古い技術はいらない」→ 崩壊寸前の寺、最後に呼ばれた78歳職人【感動】【感動する話】,0,
14,e1h9Gi9BKQU,50年尽くしてきた家族に「邪魔者」と言われた75歳の祖母──誰も知らなかった真実【感動する話】,0,
15,1LBtB7qkSdo,高校時代に想いを伝えられなかった二人が、38歳と40歳で再会した娘の優しさが繋いだ、20年越しの恋【感動する話】,0,
16,qnt2rNgt93Y,財産を狙う3人の子供たちと、認知症を患う80歳の会長7歳の孫娘だけが注いだ純粋な愛遺言書に記されていた、静かな真実【感動する話】,0,
17,WOJQN6FPCtM,【感動する話】閉店まで1ヶ月のラーメン屋に現れたドイツ人一口食べて涙した「マルティン…」20年探し続けた味に辿り着いた父親の決断,0,
18,qL2cQlTkl9E,廃業してホームレスになった62歳の元寿司屋店主が、公園で倒れそうになった老人に全財産153円でおにぎりを奢った→3日後、まさかの展開に…【感動する話】,0,
19,zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,13,
20,bjBtxPA3_bU,「生きたければ、かつらを被りなさい！」12歳の天才孤児の少女の叫びに、大財閥の会長が女性用かつらを被って身を隠した衝撃展開【感動する話】,1,
21,E_Veqo1UjWI,「中卒のくせに!!」みすぼらしい夫婦を見下した支配人。私の正体を知った瞬間、その場で膝から崩れ落ちた,0,
22,dKBFcNV1qJI,「親の顔が見てみたいわw」エリート銀行員に侮辱された女性清掃員。「わかりました、すぐ呼びますね」内線0001で呼び出した結果…,1,
23,mpU1XM9b2PA,スペインで全財産を失った26歳の日本人女性。廃業寸前のスペインレストランが１つの羽釜で奇跡を起こす…【感動ストーリー】【人生は七色】,1,
24,diw_W2B8YVk,あのまま終わると思っていた野球少年の運命は、たこ焼き屋亭主との出会いですべてが変わったのでした,1,
25,4zeZXnAl5Jk,新社長に即刻解雇された老人はAIには替えられない本物の技術者でした・・・,20,
26,uHo6zJGiie4,「シングルマザー」が理由で落とされた青年。数年後、面接官は青年のお店に泣きついていたのです【感動ストーリー】,3,
27,xL_zyEUhgBo,「清掃員が出しゃばるな！」小児病棟で見下された老婆がピアノを演奏した瞬間、余命わずかの少女が目の前に現れて…【感動ストーリー】,3,
28,tCYuZ3Eo20U,「汚ねぇジジイと犬はどっか行け！」大雨の中、罵声を浴びせた動物病院の院長。しかし、ホームレスだけが知る“ある秘密”の暴露で人生崩壊…,3,
29,3qoka-rukQs,「女はお茶汲みでもしてろ」派閥内で見下された女性議員。ある日、彼女のもとに総理大臣から1本の電話が…【スカッと】,3,
30,NQrbv-CRPww,決してエリート街道ではなかった新人女性議員は、国の緊急事態に能力を開花させた,1,
31,Zphmxo2wqgI,「最期ぐらいは誰かのために」余命宣告を受けた老人が街のホームレスたちに豚汁を振舞った結果…,3,
32,TVZB760puOE,創業40年のNYに佇む日本人経営の鮨屋は廃業寸前に追い込まれるも“一つの動画”をきっかけに様変わりする,2,
33,gWyiLZ_Y2n8,「貧乏人は日本に帰れ！」真冬の寒空で泥水をかけられた貧乏留学生。30年後、いじめっ子に訪れた悲惨な結末とは…,0,
34,8hMohuDLTKM,娘の結婚式で狂ったように吠える柴犬。数分後、警察がやってきて衝撃の事実が発覚する…,2,
35,cVluDvD6QgE,「おなかすいたよ...」大雨の夜、ゴミ捨て場で震える姉妹→廃業寸前の定食屋が特盛の親子丼をふるまった結果   【感動する話】,0,
36,f-5UaRSUWkY,「気味が悪い子ね」と親戚に捨てられたボロボロの少女 → 実はIQ200の天才だった結果...【感動する話】,0,
37,l-MEpzhwC4I,「私、いらない子なの…？」極寒の夜、片腕を失ったボロボロの車椅子少女がパーキングエリアに置き去りに→娘を亡くした男が保護した結果…【感動する話】,1,
38,N2tok-BMhQw,大雪の夜、雪を食べて空腹をしのぐ幼い姉妹 → 廃業寸前の民宿主人が連れ帰った結果…【感動する話】,0,
39,8YuTIMCaaWs,「10円でたい焼き1つくだしゃい、おかあしゃんにあげたいの」→10円玉を差し出すボロボロ少女に廃業寸前の店主が焼きたてを袋いっぱい渡した結果…【感動する話】,0,
40,8fpmnKmhwlg,真冬の夜、親に追い出されたアザだらけの5歳少女→家に連れ帰り、温かい風呂とご飯を用意した結果…【感動する話】,0,
41,NheqvnVAPBQ,借金500万の蕎麦屋に松葉杖の13歳少女が来店「日給100円で働けますか⋯」70歳店主「正社員として月給20万円で雇う」→1ヶ月後、まさかの展開に…【感動する話】,0,
42,XeZuCiqLbOY,廃業寸前のケーキ屋に傷だらけの少女が来店「50円でケーキ買えますか」→55歳店主が誕生日ケーキを渡した結果…【感動する話】,0,
43,HBIHyQ-d208,借金800万円の閉店寸前のラーメン屋に今にも倒れそうな母娘が来店→37歳店主が大盛りラーメンをご馳走した結果…【感動する話】,0,
44,S_sG5-E_0lc,63歳イタリアのピザ職人が日本人を雇った結果、廃業寸前のピザ屋が想像もしない事態に…【感動する話】,0,
45,VwqZtjUjZm0,"廃業寸前のパン屋に盲目の13歳少女が来店「月給3,000円で働かせてください」孤独な65歳店主が月給25万円で雇った結果…【感動する話】",0,
