source_index,source_channel,source_channel_id,source_video_id,source_url,source_title,published_at,duration_sec,view_count,transcript_chars
1,人生のヒカリ,UCebHRVAKp_nCxhjXlUqzQIg,e8sVwmCSBVU,https://www.youtube.com/watch?v=e8sVwmCSBVU,破産寸前で形見のボロ車を売る老婆。嘲笑した店員がもう一度車を見た直後...,2025-10-12T00:00:46Z,,196,0
2,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,Ti7DNnUaj1I,https://www.youtube.com/watch?v=Ti7DNnUaj1I,「絶対に忘れるな」認知症の父が娘を忘れた日→それでも毎朝絵を貼り続けた13歳→ある日冷蔵庫の前で涙の再会【感動する話】,2026-03-19T08:00:37Z,,2156,0
3,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,zosNE2MZIeE,https://www.youtube.com/watch?v=zosNE2MZIeE,片目の14歳少年、廃業寸前の豆腐屋に「時給100円で配達させてください」→両目を閉じて作った豆腐に68歳店主が涙した理由…【感動する話】,2026-02-28T00:30:56Z,1772.0,651,0
4,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,dqOXW_pxlDE,https://www.youtube.com/watch?v=dqOXW_pxlDE,「寿司を握りたい」と言った外国人を、72歳の頑固な職人は「出ていけ」と怒鳴った。だがあの前掛けを、捨てられなかった…【感動する話】,2026-02-21T00:30:36Z,1486.0,160,0
5,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,pKxAd3_Slio,https://www.youtube.com/watch?v=pKxAd3_Slio,ボロボロの靴で走り続けた少年に、名前のない贈り物が届いた【感動する話】,2026-02-20T00:30:47Z,1705.0,164,0
6,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,yydx9EDsVrQ,https://www.youtube.com/watch?v=yydx9EDsVrQ,「風は何色？」目の見えない7歳の少女の問いに、67歳の男は言葉を失った──23年間の秘密【感動する話】,2026-02-15T05:45:08Z,1786.0,518,0
7,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,Xkvp1ExXnfQ,https://www.youtube.com/watch?v=Xkvp1ExXnfQ,「おじちゃんのお蕎麦、もう食べたくない」少女が泣きながら言った本当の理由に、72歳の蕎麦職人は涙が止まらなかった【感動する話】,2026-02-10T00:30:28Z,1935.0,919,0
8,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,2duSTtKAJa8,https://www.youtube.com/watch?v=2duSTtKAJa8,正直に生きて全てを失った27歳の女性→閉店30日前の蕎麦屋で出会った63歳職人が最後に教えてくれた人生の真実とは…【感動する話】,2026-02-09T00:30:02Z,1510.0,471,0
9,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,WBlNorxHNgM,https://www.youtube.com/watch?v=WBlNorxHNgM,「見た目だけで犯人扱いされた」元ヤクザが55年待ち続けた奇跡の一言…誰も知らなかった真実【感動する話】,2026-02-08T00:30:27Z,1265.0,363,0
10,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,MZME5oRSXtQ,https://www.youtube.com/watch?v=MZME5oRSXtQ,夫と不倫女に追い出された嫁、8年後に彼女たちが再会した時...【感動する話】,2026-02-07T00:30:15Z,1408.0,296,0
11,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,Aelt8LWDxKI,https://www.youtube.com/watch?v=Aelt8LWDxKI,ボロボロの老人を助けた銀行員。翌週クビを宣告された——しかし一週間後、黒塗りの高級車が…【感動する話】,2026-02-06T01:00:23Z,1969.0,567,0
12,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,wekoyJQDHBI,https://www.youtube.com/watch?v=wekoyJQDHBI,60年ぶりの約束── あのラーメンの味が、父の記憶を連れてきた【感動する話】,2026-02-04T00:31:02Z,1243.0,158,0
