video_id,channel,title,view_count,thumbnail_text,confidence,notes,error
9WuKq4hThls,人生の裏側,痴漢冤罪をかけられたヤクザを助けた貧困女子高生。翌日届いた茶封筒の中身に、少女が泣き崩れる…【感動する話】,666189,,1.0,文字情報はありませんが、視覚的なストーリー性が非常に高い画像です。,
DjVJ1IMnNIE,人生は贈り物,「これ、食べてみてください」マズくて誰も利用しないアメリカの軍用食堂 → 日本人アルバイトを雇ったら驚愕の事態に・・・　【感動する話】,502842,「これ、食べてみてください」 マズすぎて誰も来ないアメリカの米軍食堂が日本人を雇った結果...,1.0,,
mlHiWC7Mm2s,人生のシナリオ,倒産寸前の蕎麦屋の店主が、所持金100円の少女に無料で天ぷら蕎麦を振る舞った。後日、黒塗りの高級車が現れ…【感動する話】,491786,「いいから食べな」全財産100円しかない家出少女 後日、店の前に高級車が現れ…,1.0,,
df94enaxuLo,人生のドラマTV,「貧乏人とは結婚しない！」大富豪の私は、娘の婚約者の本性を暴くため、清掃員に変装しました。,488414,大富豪だった私は娘の婚約者を試すため清掃員に変装しました,1.0,,
oyGTsd5to7s,人生は贈り物,「ラーメンも食べていきな」拾ったタダ券で餃子１個を分け合うボロボロ母娘に大盛りラーメンをふるまった結果,482769,餃子1個 「このタダ券で餃子1個もらえますか？」 ガリガリ母娘を住み込みで雇った結果,1.0,,
YGZ9upx2mhQ,人生は100年,車椅子の母を支える32歳男性。11社連続で面接に落ち続けて12社目に向かうバス車内で義足の女性を助けた結果…【感動する話】,481537,11社連続で面接に落ちた32歳男性→バスで義足の女性を助けた結果…,1.0,,
C9Wt1HO6UzQ,人生劇場放送局,【スカッと】「年金で豪遊か？」寿司屋で罵倒する銀行員。翌日「頭取？100兆解約で」→銀行は大崩壊。【シニア】,468657,「年金で豪遊か？」寿司屋で罵倒する銀行員 翌日「頭取？100兆解約で」銀行は大崩壊,1.0,,
u7DN9sLvpvk,人生は贈り物,イタリアのピザ職人が留学中の日本人女子大生を雇った結果 → 廃業寸前のピッツェリアに行列ができた　【感動する話】,454836,「これ使ってみませんか？」 イタリアで廃業寸前のピザ屋が日本人を雇った結果…,1.0,,
-fUXX1A5eLo,人生の裏側,倒れたヤクザに手を差し伸べた貧乏な女子学生。次の日、学校の前に黒塗りの高級車が２０台現れる...【感動する話】,454666,ヤクザを介抱した貧乏女子高生 翌日、黒塗りの高級車が20台現れ…,1.0,,
q_R3v_XCN4M,人生は七色,「こんな清掃員に手術なんて任せられるか！」アメリカの名門病院で嘲笑された老人。だが彼は伝説の外科医だった…,454205,「私が救います」清掃のおじいさんを嘲笑した外科医たち 彼らは知らなかった、老人が日本の天才外科医だったことを,1.0,,
C4dBttkODMU,人生のドラマTV,「親がヤクザ？呼んでみろ」と調子に乗るいじめっ子。5分後、黒塗りの高級車と共に全組員が集結して...,447984,「親がヤクザ？呼んでみろ」と調子に乗るいじめっ子 5分後→全組員が集結して…,1.0,,
f_jifo1bmLQ,人生のドラマTV,農家だからと結婚破棄された男、貧乏な女子学生に100万円の指輪をねだられあげた結果...,445852,貧乏農家が理由で結婚破棄された男 家なし女子高生に100万の指輪をあげた結果..,1.0,,
DOhszLJearo,人生は贈り物,「この子、気味が悪いのよ」と親戚に捨てられた少女 → 実はIQ200の天才だった結果...,444180,「気味が悪い」と親戚に捨てられた少女 実はIQ200の天才だった結果…,1.0,,
BO_lwuz-xIo,人生劇場放送局,【スカッと】「片親育ちの貧乏人w」合コンで嘲笑された俺。「じゃ、預金移すね」頭取の娘「どうぞｗ」結果   。【シニア】,437973,「片親育ちの貧乏人w」合コンで見下された俺 「じゃ、預金移すね」頭取の娘「どうぞw」結果…,1.0,,
AyAQx0h1lsQ,人生のドラマTV,貧乏な青年に弁当をあげた女子高生。4年後、彼女のピンチに駆けつけたのは...,420632,貧乏な青年に弁当をあげた女子高生 4年後、彼女のピンチに駆けつけたのは...,1.0,,
49LAgeuhw8s,人生のドラマTV,「君は一体何者なんだ...?」アメリカの有名IT企業で疎まれていた日本人の少女。しかし、サイバー攻撃を受け、少女がパソコンの前に座ると3秒後..！,418492,アメリカのIT企業で侮辱された日本人の少女 しかし、少女がパソコンを触ると3秒後...！,1.0,,
W6_dtLqzuFw,人生は七色,「ババアが出しゃばるな！」雇われ通訳のおばさんが天才バイオリニスト少女の代役で演奏した結果…観客から拍手喝采！【感動】,411728,「ババァが出しゃばるな！」日本人通訳が代役で演奏した結果…クラシック界を震撼させた,1.0,,
epOocmTkS_4,人生色々TV,俺は再建するため借金まみれの工場へ…何も知らなかった俺が、そこで出会ったのがまさかの人でした…,407106,貧乏な俺に毎日弁当をくれた 5年後彼女が人生の窮地に…,1.0,,
5ACRqrpQW0c,人生のドラマTV,万引きしたお爺さんを助けたシングルマザーの店員。後日、スーパーに老人が現れるとその正体に驚いた...,404800,万引きお爺さんを助けた貧乏な女性店員 後日、スーパーの前に黒塗りの高級車が現れ,1.0,,
5tDUmw8FQ8A,人生は贈り物,ヤクザの命を救った13歳の極貧少女 → １週間後、母の入院する病院に黒塗りの高級車が集結した・・・【感動する話】,403912,ヤクザの命を救った極貧中学生 翌日、病院前に黒塗りの高級車10台が…,1.0,,
A7taoTdToKE,人生は100年,廃業寸前のラーメン屋にボロボロの双子が来店「50円でスープだけ飲ませてください」大将「大盛り2つどうぞ！」→20年後、双子「お久しぶりです」実はこの子達…【感動する話】,399139,所持金５０円のボロボロの双子姉妹 廃業寸前の店主が助けたら→２０年後...,1.0,,
GGpbuWW8zN8,涙のひととき,【感動する話】かつて貧乏だった俺に手作り弁当を毎日作ってきてくれた同級生→15年後、社長になった俺がボロボロの彼女と再会した結果,381345,かつて貧乏だった俺に毎日弁当を作ってくれた 15年後、社長になった俺が ボロボロの弁当屋を営む彼女と再開した結果,1.0,,
o_Oy0GEdL6A,人生のシナリオ,借金5000万円。明日差し押さえられるラーメン屋にヤクザの客「財布忘れた」→18歳の店主がラーメンを御馳走した結果…【感動する話】,380917,「財布忘れた」「いいんです！」ラーメンを御馳走した18歳の店主 翌朝→店に高級スーツの男が現れ…,1.0,,
FVwsA55lfL4,人生は100年,廃業寸前の寿司屋→雨の日、大量の魚を押し売りに来た母親「新鮮な魚なんです」50ケース300万円で買い取った結果【感動する話】,380448,「お願いします！」廃業寸前の寿司屋に大量の魚を売りに来た女性→三百万で買い取った結果…,1.0,,
CCdN8PxJWro,人生ドラマ館,「中卒ギャルがピアノ弾けるの？w」幼馴染の結婚式で無茶振りされたギャル→最初の1音で、会場の空気が凍りついた…,378397,「その爪で弾けるの?w」 幼馴染の結婚式でピアノを無茶振りされたギャル だが最初の1音で会場の空気が一変した…,1.0,,
DqOs-6AvKZ4,人生の裏側,廃業寸前の整備士が、道端で困っていたヤクザの車を無償修理。翌週、黒塗りの高級車が工場に現れて…【感動する話】,372629,ヤクザを救った廃業寸前の整備士 翌日、工場に30台の高級車が現れ..,1.0,,
I51wzKXd_go,人生劇場放送局,【スカッと】初出勤5分で解雇された施設育ちの新人行員。翌日、5500億が消滅し支店長が顔面蒼白に...。【シニア】,368712,初出勤5分で解雇された施設育ちの新人行員 翌日、5500億が消滅し支店長が顔面蒼白に...,1.0,,
kXbgxfaEXNQ,人生のドラマTV,「クビになっちゃった」不当に解雇された派遣の女性。仲の良かった窓際のおじさんがついに本気を出した...,368156,「クビになっちゃった」不当に解雇された派遣の女性 仲の良い窓際おじさんがついに本気を出す,1.0,,
g94OqLTKsro,人生のシナリオ,「この飛行機を止めてください」中卒24歳の清掃係は嘲笑された→翌朝、航空整備工場で前代未聞の…【感動する話】,366194,「飛行機墜ちます」中卒24歳の警告を誰もが笑った翌朝、航空整備工場で前代未聞の…,1.0,,
B22VB3PnUlI,人生は100年,100円しかない老婆に蕎麦をごちそうしたら、閉店寸前の蕎麦屋がとんでもないことになった【感動する話】,364667,所持金たった百円のボロボロの老婆 廃業寸前の店主が蕎麦をご馳走した結果,1.0,,
tLsG8maNYNk,面白きかな人生,「小銭なんか持ってくんな」エリート銀行員に笑われた老夫婦…翌朝“3000億円”をライバル銀行に移した結果【面白きかな人生】,362504,「小銭なんか持ってくんな！」銀行員に笑われた 老夫婦、翌日3000億円をライバル銀行に移動した,1.0,,
I_FLM10j9Ng,人生ドラマ館,6年間いじめられ続けた貧乏高校生。高校最後の日に、いじめっ子に強烈な仕返しをする！,360314,6年間いじめられ続けた貧乏高校生 卒業式で流された映像に、全員が絶句する…,1.0,,
icPdavCb3Xo,人生は贈り物,「ママを助けて！！」ヤクザ事務所に飛び込んできた双子姉妹 → 駆け付けた若頭が見た母親の衝撃の現実とは・・・　【感動する話】,359240,「ママを助けて！！」その一言に「ヤクザ若頭」が動いた…,1.0,,
7QMiI5_Xuzo,人生のドラマTV,街で苦しんでいるお婆さんに全財産3000円を渡した貧乏な女子学生。次の日、学校の前に黒塗りの高級車が現れて...,355719,お婆さんに3000円を渡した貧乏女子高生 翌日、学校の前に黒塗りの高級車が現れ,1.0,,
s8qb569YDE8,人生ドラマTV,理事長だと知らずに話し相手になった看護助手。翌日、クビを言い渡されたその理由に涙が止まらない,355006,理事長だと知らずに話し相手になった病院の看護助手は速攻クビになった…,1.0,,
N9MJPuRLilw,人生は100年,真冬の夜、図書館の裏で野宿する貧乏親子→妻子を亡くし絶望していた図書館司書の男性が声をかけた結果…【感動する話】,354815,真冬に貧乏な親子が野宿していたので妻を亡くした男が家に泊めた結果..,1.0,,
PCOpmscTX6Q,人生色々TV,「いいさ、食っていきなよ」財布を忘れた老夫婦にタダで握った寿司屋大将…翌朝、重機が店を全てぶっ壊した…,349540,「いいさ、食っていきなよ」財布を忘れた老夫婦 翌朝、重機が寿司屋を破壊していた,1.0,,
zrMmq2qMfAw,人生は七色,"「日本の皆さんありがとう…」サッカーで日本に惨敗したチェコ代表。その時、小学生が取った""ある行動""に世界が涙した理由【感動】",348045,人生は七色 「なんて優しい子なの…」日本人小学生の意外な行動にサッカー女子チェコ代表が大号泣した理由,1.0,,
O0w7MXyKzEM,人生劇場放送局,【スカッと】「他銀に変える？どうぞw」融資を断られた老人。翌日、頭取「30兆円が消えた！」銀行が大惨事【シニア】,342335,「他銀に変える？どうぞw」融資を断られた老人 翌日、頭取「30兆円が消えた！」銀行が大惨事,1.0,,
DKCeYZn1gLk,人生のドラマTV,ヤクザ事務所にピザを注文するボロボロの少女。5分後→大量の部下をお届けした結果...,340632,「すぐにお届けします」 「ピザをください」 ヤクザ事務所にピザを注文するボロボロの少女 5分後→大量の部下をお届けした結果...,1.0,,
1vm9KjlTZr0,人生を紡ぐ,極寒の夜、親から捨てられ一人彷徨うボロボロ少女→実家に連れ帰り、保護した結果…【感動する話】,336727,極寒の夜、スマホを拾ってくれたアザだらけの少女 お礼にすき焼きをご馳走した結果…,1.0,,
