video_id,channel,title,view_count,published_at,fetched_at,thumbnail_url
T_p_O4nrndw,仁義と人生の部屋,ヤクザ「100万なw」新婚旅行でぼったくられた→普段おとなしい嫁が一言「全組員呼んで来い」嫁の正体とは…【スカッとする話】,39730,2026-03-15T09:00:40Z,2026-04-14 07:00:08,https://i.ytimg.com/vi/T_p_O4nrndw/mqdefault.jpg
AuDceYvV82U,感動スカっと人生録,「高卒の嫁はでしゃばるな」海外重役の前から追い出された彼女ー「通訳します」の一言で女将が言葉を失った,27700,2026-03-26T04:00:13Z,2026-04-18 11:25:26,https://i.ytimg.com/vi/AuDceYvV82U/hqdefault.jpg
ZQ_tjkzwSQ4,愛しき人の人生日記,おせち120食をドタキャンされた廃業寸前の仕出屋。翌日､100億円の契約破棄で本社がパニックに…,20939,2026-01-09T06:00:37Z,2026-03-18 17:01:01,https://i.ytimg.com/vi/ZQ_tjkzwSQ4/maxresdefault.jpg
BY5mkD_1fic,人生のしおりTV,所持金130円の貧乏少年にあら汁をあげた高級寿司屋の娘→15年後、迷惑客に困っていた時に助けてくれた男性客の正体とは…【感動する話】,20897,2026-04-20T14:01:24Z,2026-08-17 18:00:50,https://i.ytimg.com/vi/BY5mkD_1fic/maxresdefault.jpg
9lmt0MhRbfE,人生逆転ドラマシアター,同窓会で清掃員の格好をした男を「人生の敗北者」と嘲笑う社長夫人とその取り巻き。終宴後、男の前に止まった黒塗りの車を見て膝から崩れ落ちた…,20805,2025-12-05T11:30:07Z,2026-03-18 17:01:01,https://i.ytimg.com/vi/9lmt0MhRbfE/hqdefault.jpg
JCH9ggw0sFE,夜明け座 〜YOAKE-ZA〜,「冷やかしは帰れ」高級マンション内覧会で追い返される老夫婦に優しくした派遣社員。上司にハメられ全社員の前で公開処刑される寸前、老夫婦が現れ全てを覆す…,20513,2025-09-30T03:00:30Z,2026-08-17 18:00:43,https://i.ytimg.com/vi/JCH9ggw0sFE/maxresdefault.jpg
KJ0DZc3kH7A,静かなる英雄たち,「場違いです」高級百貨店の和菓子イベントで嘲笑されたおじいさん。だが彼が、和菓子に切れ目を入れた瞬間、全員が凍りついたーー。,20367,2025-07-31T09:30:09Z,2026-08-17 18:00:55,https://i.ytimg.com/vi/KJ0DZc3kH7A/maxresdefault.jpg
Sn7r0G7Mxbk,静かなる英雄たち,「年金では...」高級家具店で笑われた地味な老夫婦。だがそこに現れた専務が頭を下げた瞬間、空気が凍りついた――。,20136,2025-05-27T00:00:34Z,2026-08-17 18:00:55,https://i.ytimg.com/vi/Sn7r0G7Mxbk/maxresdefault.jpg
AvJJ_6eCVe8,人生スカッと物語,「底辺企業はすぐ潰れるだろw」銀行員に見下された清掃員の老婆。「全社員口座解約します」その直後、支店長が膝から崩れ落ちた…,20014,2025-10-16T02:00:16Z,2026-03-06 16:43:58,https://i.ytimg.com/vi/AvJJ_6eCVe8/hqdefault.jpg
YaxyLVoFoAY,静かなる英雄たち,小さな寿司屋の雑用係のおじいさんがカウンターに立つと客たちは不安そうな顔をしたが、包丁を握った瞬間──。,19967,2025-05-04T00:18:37Z,2026-08-17 18:00:55,https://i.ytimg.com/vi/YaxyLVoFoAY/maxresdefault.jpg
ogBARijQ8d8,お茶の間TV 〈スカッと感動〉,「「夫はヤクザよ。貧乏人は帰れw」割烹で好き放題する女。私「じゃあ、その組潰しますね w」お望み通りにした結果..【スカッとする話】 YAKUZA,19297,2026-02-15T06:00:19Z,2026-08-17 18:00:43,https://i.ytimg.com/vi/ogBARijQ8d8/maxresdefault.jpg
ds4wuEIlpnc,人生色々TV,受付で不採用を言い渡された…その夜、黒塗り高級車が現れ降りてきたのがとんでもない人物でした•••,18853,2026-01-27T09:00:50Z,2026-05-26 13:44:43,https://i.ytimg.com/vi/ds4wuEIlpnc/maxresdefault.jpg
