video_id,thumbnail_text,note
--CLaqugEWA,「クビになっちゃった…」不当に解雇された高卒の派遣社員 仲の良い温厚な清掃員おじさんが単身で役員室に乗り込み…,gemini_ocr
-08fwtvloYM,「お兄ちゃん大丈夫？」幼稚園の休園で4歳の妹を連れて登校 妹が救ったのは校内最恐の金髪ヤンキーだった,gemini_ocr
-0koJWEGUD8,「その格好で面接にくるってw」ボロボロスーツの陰キャ女性を嘲笑した元上司 取引先で再会した瞬間、全員が凍りついた,gemini_ocr
-27KNYAldfs,貧乏のフリしてお見合いで再会 元カノ「夢を諦めて…フリーター？」,gemini_ocr
-65t3r4qvXI,"8,000万の冤罪で不当解雇になった組長の息子→元ヤクザ5人が集結し...",gemini_ocr
-9BLJt2qFkY,ボロ銭湯を守る番台娘に絡む地上げヤクザ 常連老人の一言で組長も震え上がる..,gemini_ocr
-9pAWm_KTMU,人生は七色 「雑用でもやってろ」と冷遇されたシングルマザー しかし、彼女の8歳の息子の一言で全員土下座した,gemini_ocr
-AGqFbgsUJc,「こいつ、臭くない？!w」教室でゲラゲラ笑われる少女 その後、現れたスーツの男の一言に全員が真っ青に…,gemini_ocr
-AaFel8ex_c,「お父さん犯罪者なの？w」同級生に笑われる女子高生 半年後、学校中の全員が土下座する…,gemini_ocr
-DV1aDhz3lg,「百円で一つだけ…」双子を抱えた母に 35年の想いを込めた職人,gemini_ocr
-DbnS5K5M7c,「老害は引退しろ！」上司に罵倒された定年間近の老人 次の瞬間、年俸3億のヘッドハンティングが！,gemini_ocr
-FuRbXjynWE,駅で倒れるヤクザを助けた 耳の聞こえない少女 翌日、病院に100台のバイクが現れ…,gemini_ocr
-INdzq_g9_0,「薄給のゴミw」イキる半グレ 数分後、街の伝説が料亭を包囲..,gemini_ocr
-Iq8cFAYReI,所持金50円のボロボロの双子姉妹 廃業寸前のギャル店主が助けた→20年後のクリスマスに…,gemini_ocr
-KgwMQMLgrM,「パパの年収180万です」 授業参観でゲラゲラ笑う保護者、すると 老人「お嬢様ドルです」保護者「え?…」,gemini_ocr
-MV72OxNUSw,「うちは庶民向けじゃありませんのでw」高級ブランド店で店員にバカにされたお婆さん、翌日、会社の“創業者”と知り店員絶句...,gemini_ocr
-RIn0EWV7wQ,人生は七色 「私に任せて」No.1キャバ嬢が怒らせた米CEOを雑用係の老婆が完璧な英語で接客した結果…,gemini_ocr
-RrO2TDY7l0,人生は七色 ホームレスに缶コーヒーをあげたタクシー運転手 翌日、彼女の前に財閥グループ会長が現れて…,gemini_ocr
-Sax3xpgZnM,おじさんも迷子なの？「おじさんも迷子なの？」5歳の少女が声をかけた彼が誰にも頼れない孤独な富豪だと見抜いていた,gemini_ocr
-ShGoQrG6Ok,学年最下位の息子、ホームレスが教えた結果京都大学合格！父親は彼の正体に驚愕した,gemini_ocr
-T1ekOvleL8,ボロボロの老婆「50円でスープだけでも」 貧乏な店主が特製ラーメンを振る舞った結果,gemini_ocr
-UCsFGFW5YA,人生は七色 廃業寸前のうどん屋亭主がハーバード大卒の同級生を雇った結果…1年後、とんでもない事に,gemini_ocr
-W4904OmMn4,「低学歴オヤジは帰れw」手柄を横取りした部長 「では、帰りますね」→美人社長が背後に現れ...,gemini_ocr
-eHKXMt43yo,とんかつ弁当を注文したら配達に来たのは高校時代俺を見下してた女→注文し続けた結果…,gemini_ocr
-ek_HaY8KZU,ぼったくり車屋「修理代200万な、ヤクザ呼ぶぞ」私「どうぞ」→3分後、ヤクザ全員土下座,gemini_ocr
-fUXX1A5eLo,ヤクザを介抱した貧乏女子高生 翌日、黒塗りの高級車が20台現れ…,gemini_ocr
-fV_rkFYQPw,親族全員が見捨てたヤンチャな姪「うち来いよ」と声を掛けた結果,gemini_ocr
-fdVwoVSiic,「分かる？」金持ちアメリカ人が日本人ウェイトレスを辱める為外国語で注文した瞬間、男はその夜すべてを失った,gemini_ocr
-fwrMNJzUmI,「彼、東大出身なの♪」中卒の俺を見下す元カノカップルに自慢される俺 有名女優「私の彼に何か？」元カノ「えっ？…」,gemini_ocr
-gQzRxF4Gxk,「まさか、君のお母さんの名前は？」 実の娘 とは知らずに面接した大企業の会長 その一言で会議室が凍りついた,gemini_ocr
-juVjo20Aqk,「このお水あげる」父を亡くした貧乏少年が財布をなくした老人に奢ってあげた結果…,gemini_ocr
-lTgqLrmZoM,「パンの耳だけでも」50円を差出すボロ服少女に山盛パンをあげた結果,gemini_ocr
-pJdaLB3d3Q,「お帰りください」と高級楽器店で笑われた 老夫婦の前に常連の女性客が現れ…,gemini_ocr
-r8H1xTYCs0,「貧乏人が高級車乗るな！」 「私は〇〇組の幹部の妻！」 罵り車を蹴るヤクザ妻 私「それ、あなたの組長の車ですが？」 「え？」,gemini_ocr
-rYTi-W04CM,人生は七色 大雨の夜、家出して一文無しのずぶ濡れの老婆にラーメンをご馳走して雨宿りで一泊させた結果…,gemini_ocr
01efdvfAdG0,嵐の中老婆を助けた貧乏女子高生 翌日、老婆が黒塗りの高級車で現れ...,gemini_ocr
02B_ETFxUm8,「パートのくせに」若い社員に見下された食堂のおばあさん だがその3時間後、役員プレゼンにおばあさんが現れるとーー,gemini_ocr
03gvw36lduQ,会長だと知らずおにぎりをあげた 病院の清掃員は速攻クビになった…,gemini_ocr
04dnAGpgUfw,おばさんに夕食を渡した貧乏女子高生 翌日、校庭に黒塗りの高級車が現れ...,gemini_ocr
08VDY6RtxDU,「鍵？何のこと？w」 同僚に騙され地下室に閉じ込められた私 1人で震えていたらイケメン上司が現れ...,gemini_ocr
0AbZyG8x33w,ボスママ「60万払えヤクザに消されたいの？」店に来たヤクザに、私「お前ら久しぶり」,gemini_ocr
0Dx8vJUmdEw,「貧乏人は帰りな」と俺にワインをかけた女 「俺、資産50億ですけど」「え…？」,gemini_ocr
0Ek-SNjh-Zo,「文句あるなら家来なさいよ」ボスママにビンタされた私「全組員で訪いますね」,gemini_ocr
0G-8bmPqCro,「親の顔が見たい」取引先部長に侮辱された新人OL 直後、スマホで呼び出すと会議室が地獄絵図..,gemini_ocr
0H4Zc1bLZ-A,「中卒が交渉は無理だろw」国際会議で交渉役に名乗り出た21歳派遣だが、その直後最初の一言で会場が凍りついた,gemini_ocr
0KjsETeYgN8,「半分こしよ」極寒の夜、余命3ヶ月の老人にホカホカの焼き芋をあげた結果・・,gemini_ocr
0Osryk9Io5U,両親を亡くし 親族中たらい回しにされ施設送りになる少年 組長の叔父「俺がこいつを育てる」,gemini_ocr
0P-1HJOx6_U,「中卒に英語は無理かw」見下されたパート社員 しかし、彼女が放った一言で会議室が凍り付いた,gemini_ocr
0RbvcqGkiTw,「お帰りください」豪華客船の受付で追い返された老夫婦 だが20分後、船長の放送が流れた瞬間、全員が凍りついた—,gemini_ocr
0SFODV3Qsgc,「ほれ、食って温まれ」凍えそうな母娘に無料でラーメンを食べさせた結果…,gemini_ocr
0bTJKJbR1TY,「汚いババアの店は勘弁w」60人予約を当日ドタキャン お婆さん「同窓会なら昨日終わってますけど？」,gemini_ocr
0fu9TMroHpM,実は売上1位のメニュー開発者と知らず見下した部長 彼女が店を去った翌日会社が崩壊危機に...,gemini_ocr
0gxGAJexSMw,「汚い小銭ですね！」預金を拒否された老夫婦 翌朝、1兆円を地方の信金に移した結果...,gemini_ocr
0iRzWXsS8I4,「旦那は何してるの?w」同窓会で嘲笑された主婦 しかし総理秘書が挨拶に来た瞬間、全員が凍りついた,gemini_ocr
0kzgAz4fx4s,「貧乏なボケ老人にはもう来るなw」と嘲笑した支店長 ボロボロの老人の正体を知った銀行が、翌日黒塗り車100台で謝罪に来た…,gemini_ocr
0mwAsgTIrrg,「お姉ちゃんが売られちゃう…！」ヤクザに泣きつき助けを乞う ボロボロの少年「任せろ」翌日、組員全員で悪徳キャバクラに乗り込んだ結果,gemini_ocr
0n_vQ3Ksgkg,「中卒がピアノなんて弾けるのw」 創業パーティーで重役の前に晒された26歳OL だが、最初の1音で会場全体が声を失った,gemini_ocr
0sqWrtPiP_Y,「電池が切れるまで」あなたの電池、残り何％？ 余命宣告受けた祖父が不登校の孫娘に残した言葉 「命が疲れたというまで、精一杯生きよう」,gemini_ocr
0vEB6_WOT2s,店主「迷惑です、お帰り下さい」母「分かりました」息子の車椅子を押すと「いえ、あなた方ではありません」,gemini_ocr
10mOHjIQIXI,「女に寿司屋は無理」と嘲笑した男は知らなかった 彼女が老舗高級寿司屋の天才職人だったとは…,gemini_ocr
12_XdZx_f88,「気味が悪い」と実親に捨てられた少女 実はIQ200の超天才だった結果…,gemini_ocr
15mUzIz_fpo,廃業寸前のドイツ人飲食経営者が日本人シングルマザーを雇ったら…,gemini_ocr
16-Dk05nWNY,"「貧乏企業は潰れろw」ボロ作業服の老人を見下したエリート銀行員 翌日、""1兆円""の解約申請で銀行騒然、支店長が顔面蒼白に...",gemini_ocr
18Eoe5yrtXU,「なぜ実力を隠してるんですか!?」女性社員の為に、本気を出した結果…,gemini_ocr
1Dh8lDhj3bg,「ババアの飯はゴミw」地上げ屋に脅される食堂 裏社会の鬼が激怒しカチコミした結果..,gemini_ocr
1HCQQUu0DDg,老人と話しただけで解雇されたがその正体はホテルグループ創業だった,gemini_ocr
1IRjD55QRaE,"貧乏母子に無料でラーメンを渡した屋台の少女 20年後, 屋台の危機を救ったのはあの2人だった",gemini_ocr
1OtDznIewgM,「かけうどん1つください・・」 廃業寸前のうどん屋が住み込みで雇った結果・・,gemini_ocr
1U7YbTW42p4,廃業寸前の食堂店主が少女に弁当を毎日届けた →15年後、公園に一人の女性が現れて…,gemini_ocr
1Ubjyh-uKZY,お婆さんに1000円を渡した貧乏女子高生 翌日、学校の前に黒塗りの高級車が現れ,gemini_ocr
1XgCC-RPdSE,「派遣ごときが英語？笑わせるなw」商談で女性派遣社員をバカにした上司 流暢な英語で3000億契約獲得した結果,gemini_ocr
1dqxXA2MgKI,「50万貸せよ」オヤジ狩りされた貧しいお爺さん 翌週、警官30人が現れ次々と…,gemini_ocr
